DC	District of Columbia	Washington	Takoma Park	268831	11	-77.040055727851;38.972269614433,-77.045436359343;38.972032177806,-77.044979502838;38.982956758973,-77.050778674836;38.987883285062,-77.041;38.995109090909,-77.0373;38.992909090909,-77.026609090909;38.984690909091,-77.026299999;38.977010023682,-77.026983510152;38.972342634315,-77.031133415845;38.972323771107,-77.040055727851;38.972269614433
DC	District of Columbia	Washington	Catholic University-Brookland	273159	13	-76.963299971404;38.935109986603,-76.9859;38.924509090909,-77.0091000313;38.92660997155,-77.013700023536;38.926210021227,-77.018899978824;38.92861002371,-77.023249992715;38.928080012517,-77.024349987592;38.935270026842,-77.027549965856;38.951440026662,-77.027850125138;38.953489517621,-77.010829968598;38.954139973102,-77.002699999635;38.955710020434,-76.992600033017;38.957609991093,-76.963299971404;38.935109986603
DC	District of Columbia	Washington	Anacostia	121670	24	-76.962463636364;38.889690909091,-76.913290909091;38.889809090909,-77.015609090909;38.809809090909,-77.0216;38.810109090909,-77.025360356268;38.810751725478,-77.027858790277;38.815986539593,-77.027144951989;38.820745461516,-77.018103000336;38.821578272852,-77.017830790001;38.829334363802,-77.009892908234;38.839522263855,-77.00852233872;38.85094367647,-77.004798958208;38.860172177863,-77.003554024233;38.866214105136,-77.004456315829;38.868024399035,-77.001897934455;38.870187889566,-76.995216408075;38.868817320052,-76.993960052688;38.868760212989,-76.989962558272;38.871044495512,-76.983737888397;38.873956955729,-76.973230188792;38.877554700702,-76.971402762773;38.879439233784,-76.969975086196;38.881437980991,-76.964321486952;38.886177867227,-76.962463636364;38.889690909091
DC	District of Columbia	Washington	Shaw	121785	13	-77.014859977149;38.905529967277,-77.027099974783;38.90567002127,-77.027069995414;38.913980016716,-77.024019989129;38.914000002962,-77.024000002883;38.916810024027,-77.022030005228;38.916160020224,-77.016770016071;38.914000003473,-77.014140021928;38.912870028863,-77.009039996533;38.910720005423,-77.004672727273;38.908827272727,-77.004692320323;38.905971175288,-77.009020011181;38.905609987396,-77.014859977149;38.905529967277
DC	District of Columbia	Washington	Stadium-Armory	275558	24	-76.983715030521;38.875571097421,-76.983657923457;38.900212795137,-76.98008303636;38.905160254993,-76.978061431276;38.907294070959,-76.975000507747;38.906359503317,-76.970260621512;38.906245289191,-76.966688102893;38.904230611285,-76.965312518759;38.903454867543,-76.966080459083;38.901343031652,-76.966336439191;38.899487175868,-76.966016464056;38.897439335004,-76.966464429245;38.895903454355,-76.967104379515;38.895007523977,-76.967808324813;38.894431568734,-76.968320285029;38.893791618464,-76.968704255191;38.893151668194,-76.968576265137;38.89238372787,-76.967936314867;38.891359807438,-76.967424354651;38.89065586214,-76.967360359623;38.889695936735,-76.968256290002;38.887584100844,-76.973375892163;38.879264747332,-76.974943400684;38.878182878396,-76.983715030521;38.875571097421
DC	District of Columbia	Washington	Logan Circle	121754	7	-77.036330013758;38.913939969089,-77.027069995414;38.913980016716,-77.027099974783;38.90567002127,-77.026979982172;38.903749989229,-77.032112881656;38.905535354963,-77.03610002166;38.907210014097,-77.036330013758;38.913939969089
DC	District of Columbia	Washington	Ledroit Park	121750	11	-77.022030004357;38.916160021053,-77.023249992715;38.928080012517,-77.018899978824;38.92861002371,-77.013700023536;38.926210021227,-77.0091000313;38.92660997155,-77.009079969189;38.922209991762,-77.009063636364;38.916709090909,-77.009039996533;38.910720005423,-77.014140021928;38.912870028863,-77.016770016071;38.914000003473,-77.022030004357;38.916160021053
DC	District of Columbia	Washington	Chevy Chase	121689	19	-77.085736363636;38.960809090909,-77.071877520668;38.971709551923,-77.07109999525;38.971110023841,-77.066329969653;38.960709962992,-77.065199995408;38.958010016552,-77.059299995567;38.957110034405,-77.056190909091;38.953763636364,-77.053063636364;38.951563636364,-77.046978250046;38.951507899337,-77.049662282011;38.941217206571,-77.078805866782;38.941160547555,-77.079199984844;38.945900004652,-77.080340027348;38.948490026741,-77.078896891295;38.954607216317,-77.077300014185;38.954610025558,-77.077270034817;38.958179974777,-77.078370029693;38.958870026207,-77.080099966991;38.960809969357,-77.085736363636;38.960809090909
DC	District of Columbia	Washington	Barnaby Woods	121672	12	-77.071877520668;38.971709551923,-77.050778674836;38.987883285062,-77.044979502839;38.982956758973,-77.045436359343;38.972032177806,-77.046407179415;38.96318058303,-77.046978250046;38.951507899337,-77.053063636364;38.951563636364,-77.056190909091;38.953763636364,-77.059299995567;38.957110034405,-77.065199995408;38.958010016552,-77.07109999525;38.971110023841,-77.071877520668;38.971709551923
DC	District of Columbia	Washington	Capitol Hill	121685	24	-77.007309090909;38.896018181818,-77.007754545455;38.897063636364,-77.012700035024;38.898910011773,-77.012899972617;38.900019999772,-77.014859977149;38.905529967277,-77.009020011181;38.905609987396,-77.004692320323;38.905971175288,-76.978061431276;38.907294070958,-76.98008303636;38.905160254993,-76.983659606784;38.900087315251,-76.983715030521;38.875571097421,-76.991327272727;38.872018181818,-76.991754545454;38.876309090909,-76.998490909091;38.875963636364,-76.998718181818;38.872690909091,-77.006;38.8713,-77.009137153399;38.866576343718,-77.009033588674;38.881578394151,-77.010909988717;38.881929967911,-77.01284001388;38.885810004484,-77.013349963691;38.888540005429,-77.014399992953;38.891910017055,-77.013199991712;38.891910017055,-77.007309090909;38.896018181818
DC	District of Columbia	Washington	Friendship Heights	121726	10	-77.091263636364;38.956454545454,-77.085736363636;38.960809090909,-77.080099966991;38.960809969357,-77.078370029693;38.958870026207,-77.077270034817;38.958179974777,-77.077300014185;38.954610025558,-77.078896891295;38.954607216317,-77.080340027348;38.948490026741,-77.088752618598;38.954616734161,-77.091263636364;38.956454545454
DC	District of Columbia	Washington	Au-Tenleytown	272818	13	-77.091263636364;38.956454545454,-77.080340027348;38.948490026741,-77.079199984844;38.945900004652,-77.078805866782;38.941160547555,-77.079548258602;38.935735376563,-77.080176436296;38.931909203337,-77.08377764162;38.925911393014,-77.090449987089;38.926320020715,-77.092329971501;38.92660997155,-77.095916810501;38.925581968902,-77.098263967936;38.921900318795,-77.110302454431;38.941892745538,-77.091263636364;38.956454545454
